Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
1,Precious Achiuwa,PF-C,24,TOT,52,13,22.4,3.4,6.8,.492,0.4,1.5,.253,3.0,5.3,.560,.520,1.0,1.5,.646,2.7,3.9,6.6,1.4,0.6,0.8,1.1,1.9,8.1,achiupr01
1,Precious Achiuwa,C,24,TOR,25,0,17.5,3.1,6.8,.459,0.5,1.9,.277,2.6,4.9,.528,.497,1.0,1.7,.571,2.0,3.4,5.4,1.8,0.6,0.5,1.2,1.6,7.7,achiupr01
1,Precious Achiuwa,PF,24,NYK,27,13,27.0,3.6,6.9,.522,0.3,1.2,.219,3.3,5.7,.584,.540,1.0,1.4,.730,3.3,4.3,7.6,1.0,0.6,1.1,1.0,2.2,8.4,achiupr01
2,Bam Adebayo,C,26,MIA,48,48,34.6,7.7,15.0,.515,0.0,0.3,.083,7.7,14.8,.523,.516,4.8,6.3,.773,2.2,8.3,10.5,4.1,1.1,1.0,2.6,2.4,20.3,adebaba01
3,Ochai Agbaji,SG,23,TOT,57,10,19.2,2.1,4.9,.429,0.9,2.8,.333,1.2,2.2,.553,.523,0.4,0.5,.778,0.7,1.7,2.4,0.9,0.5,0.5,0.7,1.3,5.5,agbajoc01
3,Ochai Agbaji,SG,23,UTA,51,10,19.7,2.1,4.9,.426,0.9,2.8,.331,1.2,2.1,.551,.520,0.3,0.4,.750,0.7,1.8,2.5,0.9,0.5,0.6,0.7,1.3,5.4,agbajoc01
3,Ochai Agbaji,SG,23,TOR,6,0,15.5,2.5,5.5,.455,1.0,2.8,.353,1.5,2.7,.563,.545,1.0,1.2,.857,0.7,1.0,1.7,1.0,0.5,0.3,1.2,1.2,7.0,agbajoc01
4,Santi Aldama,PF,23,MEM,46,20,24.7,3.9,9.0,.430,1.7,4.8,.342,2.2,4.2,.531,.522,0.8,1.3,.597,1.2,4.4,5.5,2.2,0.7,0.7,1.1,1.5,10.2,aldamsa01
5,Nickeil Alexander-Walker,SG,25,MIN,58,16,23.0,2.5,6.0,.420,1.4,3.9,.367,1.1,2.1,.516,.539,0.5,0.7,.775,0.4,1.6,2.0,2.6,0.8,0.5,1.0,1.9,7.0,alexani01
6,Grayson Allen,SG,28,PHO,52,52,33.1,4.3,8.5,.508,2.6,5.3,.486,1.8,3.2,.545,.659,1.8,2.0,.886,0.7,3.3,4.0,3.2,0.8,0.7,1.3,2.2,13.0,allengr01
7,Jarrett Allen,C,25,CLE,52,52,31.0,6.6,10.2,.645,0.0,0.1,.000,6.6,10.1,.651,.645,2.8,3.8,.730,3.4,7.2,10.6,2.7,0.8,1.1,1.7,2.2,16.0,allenja01
8,Jose Alvarado,PG,25,NOP,39,0,16.8,2.5,6.1,.414,1.3,3.5,.358,1.3,2.6,.490,.517,0.7,1.0,.675,0.4,1.8,2.2,1.9,1.1,0.4,0.7,1.5,7.0,alvarjo01
9,Kyle Anderson,PF,30,MIN,58,4,22.0,2.4,5.1,.473,0.1,0.6,.206,2.3,4.5,.508,.485,1.2,1.7,.700,0.8,2.8,3.5,4.1,0.8,0.5,1.3,1.5,6.2,anderky01
10,Giannis Antetokounmpo,PF,29,MIL,57,57,34.9,11.5,18.6,.616,0.5,1.7,.276,11.0,16.9,.651,.629,7.3,11.1,.658,2.5,8.7,11.2,6.3,1.3,1.0,3.5,2.9,30.7,antetgi01
11,Thanasis Antetokounmpo,PF,31,MIL,25,0,4.9,0.5,1.0,.500,0.0,0.0,.000,0.5,0.9,.522,.500,0.0,0.1,.000,0.2,0.2,0.4,0.5,0.1,0.2,0.4,0.8,1.0,antetth01
12,Cole Anthony,PG,23,ORL,58,0,23.1,4.1,9.6,.433,1.1,3.3,.333,3.1,6.3,.485,.490,2.6,3.1,.834,0.8,3.1,3.9,3.1,0.8,0.4,1.7,2.5,12.0,anthoco01
